#  Contiguous U.S. Palmer Z-Index
Date,Value
200601,-0.55
200602,-1.3
200603,-1
200604,-1.31
200605,-2.46
200606,-1.9
200607,-3.03
200608,-1.06
200609,1.15
200610,2.38
200611,0.28
200612,0.55
200701,0.72
200702,-0.39
200703,-2.55
200704,0.27
200705,-1.19
200706,-0.34
200707,-0.4
200708,-1.14
200709,-1.54
200710,0.74
200711,-3.04
200712,-0.37
200801,-0.86
200802,1.43
200803,-0.14
200804,0.47
200805,0.68
200806,0.12
200807,0.45
200808,1.61
200809,0.6
200810,0.29
200811,-1.09
200812,0.85
200901,-0.89
200902,-1.5
200903,0.13
200904,1.09
200905,0.66
200906,0.48
200907,1.72
200908,1.08
200909,-0.09
200910,6.9
200911,-0.02
200912,4.29
201001,2.76
201002,0.37
201003,-1.3
201004,-1.02
201005,1.35
201006,1.28
201007,2.3
201008,0
201009,0.49
201010,-0.9
201011,-0.44
201012,-0.14
201101,-1.43
201102,0.22
201103,0.72
201104,2.42
201105,1.97
201106,-1.14
201107,-1.43
201108,-2.38
201109,-0.61
201110,-0.36
201111,-0.58
201112,-1.42
201201,-1.83
201202,-0.92
201203,-1.76
201204,-2.02
201205,-2.34
201206,-2.74
201207,-3.29
201208,-2.42
201209,-1.22
201210,0.14
201211,-3.77
201212,-1.73
201301,-1.74
201302,-0.44
201303,-2.38
201304,1.76
201305,1.08
201306,0.86
201307,2.28
201308,0.43
201309,0.98
201310,0.6
201311,-0.2
201312,0.02
201401,-1.68
201402,1.03
201403,-0.24
201404,0.96
201405,-0.61
201406,1.98
201407,0.25
201408,1.94
201409,0.18
201410,0.1
201411,0.21
201412,0.36
201501,-0.46
201502,-0.47
201503,-2.39
201504,0.29
201505,4.15
201506,1.17
201507,2.13
201508,-0.03
201509,-2.06
201510,1.2
201511,2.56
201512,4.88
201601,1.38
201602,-0.91
201603,-0.62
201604,0.79
201605,0.5
201606,-2.09
201607,-0.6
201608,1.94
201609,0.02
201610,-0.32
201611,-3.07
201612,-1.02
201701,1.01
201702,-0.29
201703,-1.2
201704,2.02
201705,1.22
201706,0.08
201707,0.14
201708,2.68
201709,-0.92
201710,0.89
201711,-2.15
201712,-2.69
201801,-2.76
201802,1.18
201803,-0.54
201804,0.71
201805,-1.75
201806,-0.33
201807,-0.99
201808,0.17
201809,2.25
201810,3.6
201811,2.51
201812,4.16
201901,2.6
201902,4.02
201903,-0.58
201904,1.53
201905,4.75
201906,1.49
201907,0.94
201908,0.57
201909,-1.1
201910,3.45
201911,0.32
201912,1.42
202001,2.63
202002,1.16
202003,-0.35
202004,0.24
202005,0.33
202006,-0.9
202007,-0.15
202008,-1.65
202009,-0.59
202010,0.02
202011,-2.28
202012,-2.54
202101,-2.63
202102,-0.94
202103,-1.25
202104,-1.44
202105,0.24
202106,-0.96
202107,1.01
202108,1.21
202109,-1.13
202110,1.94
202111,-2.85
202112,-1.62
202201,-2.66
202202,-1.4
202203,-1.52
202204,0.54
202205,0.21
202206,-2.15
202207,-1.41
202208,0
202209,-3.02
202210,-1.64
202211,-0.36
202212,-0.12
202301,1.08
202302,-0.11
202303,1.33
202304,-0.2
202305,-1.63
202306,-0.24
202307,-1.11
202308,-0.73
202309,-2.1
202310,-0.52
202311,-3.62
202312,-2.82
202401,-0.28
202402,-0.83
202403,0.07
202404,0.12
202405,1.34
202406,-1.26
202407,0.34
202408,-1.16
202409,-1.81
202410,-4.62
202411,0.39
202412,-1.25
202501,-2.95
202502,-0.43
202503,-2
202504,0.26
202505,1.66
202506,0.52
202507,1.07
202508,-0.98
202509,-2.54
202510,-0.33
202511,-3.02
202512,-3.29
202601,-4.51
